"SUID","COMMON","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","name","selected","shared name"
"596","CUP1A","-0.656","1.6731E-4","-0.75","8.4638E-4","0.795","1.5187E-10","YHR053C","false","YHR053C"
"598","CUP1B","-0.867","2.8813E-6","-0.416","0.026753","0.802","1.9696E-12","YHR055C","false","YHR055C"
"600","PCL10","0.138","0.0020577","-0.548","3.6977E-7","0.839","3.7595E-7","YGL134W","false","YGL134W"
"602","GSY2","-0.405","4.4171E-9","0.4","1.8329E-6","-0.487","5.8675E-12","YLR258W","false","YLR258W"
"604","CDC6","0.018","0.83635","-0.661","4.5029E-5","0.525","0.050004","YJL194W","false","YJL194W"
"608","LSM2","-0.032","0.48423","-0.158","0.019199","-0.064","0.59933","YBL026W","false","YBL026W"
"610","SEC17","-0.066","0.11213","-0.044","0.48722","0.106","0.23706","YBL050W","false","YBL050W"
"613","STE12","-0.109","0.014623","-0.541","6.6062E-6","0.057","0.65365","YHR084W","false","YHR084W"
"615","CHK1","-0.045","0.35655","0.135","0.0049782","-0.052","0.55148","YBR274W","false","YBR274W"
"616","GFD1","0.211","2.2142E-4","-0.159","0.11742","0.397","0.0029074","YMR255W","false","YMR255W"
"618","SST2","-0.507","2.4276E-7","-0.393","6.6966E-6","-0.269","0.014595","YLR452C","false","YLR452C"
"619","GPA1","-0.02","0.64417","-0.413","5.0285E-5","0.33","0.0031233","YHR005C","false","YHR005C"
"621","BFR2","0.518","1.6082E-7","-0.287","0.20033","0.883","1.0236E-4","YDR299W","false","YDR299W"
"623","SER33","-0.444","4.9389E-9","-0.565","2.6626E-5","0.393","0.022682","YIL074C","false","YIL074C"
"630","GCY1","0.194","9.0303E-5","-0.349","1.8298E-5","0.576","6.3927E-9","YOR120W","false","YOR120W"
"632","TIF5","-0.059","0.11203","-0.243","0.0061997","-0.177","0.011738","YPR041W","false","YPR041W"
"638","PIG2","-0.078","0.056656","0.478","8.8839E-7","-0.134","0.072301","YIL045W","false","YIL045W"
"641","GDH2","0.485","9.0717E-9","0.242","0.21914","0.0","0.999999","YDL215C","false","YDL215C"
"644","YER079W","-0.174","4.1949E-4","-0.267","4.6903E-5","-0.046","0.40867","YER079W","false","YER079W"
"647","PRP9","0.244","2.7658E-4","-0.119","0.25629","0.339","0.011822","YDL030W","false","YDL030W"
