"SUID","COMMON","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","name","selected","shared name"
"287","BAR1","-0.622","7.0996E-11","-0.207","0.0040782","-1.117","2.9167E-11","YIL015W","false","YIL015W"
"289","HSP150","-0.357","6.8879E-8","0.111","0.041194","0.001","0.999999","YJL159W","false","YJL159W"
"291","PCK1","1.289","7.092E-13","1.224","1.8547E-10","0.123","0.13819","YKR097W","false","YKR097W"
"293","CLB1","-0.25","7.5764E-7","-0.566","2.3869E-7","0.101","0.1936","YGR108W","false","YGR108W"
"295","MFA1","-0.659","2.4721E-10","-0.147","0.011212","-0.526","5.5223E-10","YDR461W","false","YDR461W"
"297","MFA2","-0.764","3.148E-11","-0.098","0.05338","-1.237","1.1916E-10","YNL145W","false","YNL145W"
"299","FAR1","-0.158","5.9763E-4","-0.803","4.7408E-8","0.972","6.3708E-7","YJL157C","false","YJL157C"
"301","STE2","-0.653","1.3644E-10","-0.396","4.1738E-6","-0.74","2.884E-14","YFL026W","false","YFL026W"
"304","AUT1","0.078","0.061024","0.196","3.1083E-4","0.161","0.10191","YNR007C","false","YNR007C"
"307","PRP21","0.083","0.13783","-0.46","6.541E-4","0.401","0.0046881","YJL203W","false","YJL203W"
"308","PFK27","-0.646","1.9054E-8","-0.086","0.39614","-0.472","0.0081753","YOL136C","false","YOL136C"
"310","SPA2","-0.155","3.4013E-4","0.05","0.23036","-0.036","0.62229","YLL021W","false","YLL021W"
"312","HXT9","0.298","5.6008E-6","0.592","1.6899E-9","-0.162","0.097946","YJL219W","false","YJL219W"
"314","HXT11","0.298","8.1828E-6","0.462","5.1939E-5","0.105","0.28091","YOL156W","false","YOL156W"
"316","HSL1","-0.01","0.96433","0.78","1.6928E-9","0.439","0.0030233","YKL101W","false","YKL101W"
"317","CDC28","-0.016","0.7432","-0.087","0.32105","-0.405","0.026081","YBR160W","false","YBR160W"
"323","PDR3","-0.0","0.64313","0.0","0.999999","0.0","0.999999","YBL005W","false","YBL005W"
"325","PEP7","0.164","0.10243","0.0","0.999999","0.052","0.69287","YDR323C","false","YDR323C"
"326","PEP12","0.071","0.092135","0.037","0.43055","0.491","1.6313E-6","YOR036W","false","YOR036W"
"328","PMA1","-0.352","1.0007E-5","-0.282","7.1366E-4","-0.573","1.2622E-6","YGL008C","false","YGL008C"
"330","GLN3","0.098","0.38375","-0.513","0.010321","0.537","0.0018683","YER040W","false","YER040W"
"331","GLN1","-0.197","2.3885E-5","-1.06","2.9298E-9","-0.172","0.036009","YPR035W","false","YPR035W"
"333","UGA1","-0.163","0.0086582","0.234","0.0011998","-0.258","6.2171E-5","YGR019W","false","YGR019W"
"335","RAS2","0.05","0.20515","0.062","0.23242","0.293","1.0426E-4","YNL098C","false","YNL098C"
"336","CDC25","0.015","0.67137","-0.037","0.41028","-0.071","0.25519","YLR310C","false","YLR310C"
"338","SNF4","-0.111","0.0058541","0.112","0.011234","-0.221","0.0027535","YGL115W","false","YGL115W"
"339","SIP2","0.354","1.7995E-6","0.406","1.1069E-6","0.139","0.097498","YGL208W","false","YGL208W"
"341","RLM1","-0.06","0.14513","-0.037","0.47601","0.209","0.0026491","YPL089C","false","YPL089C"
"342","SLT2","-0.227","1.349E-4","-0.24","2.7258E-4","0.21","0.0033506","YHR030C","false","YHR030C"
"344","SIP4","0.037","0.72688","0.169","0.55601","0.442","0.033306","YJL089W","false","YJL089W"
"345","ICL1","0.65","1.8931E-10","0.591","4.8501E-9","1.147","3.4625E-8","YER065C","false","YER065C"
"348","FBP1","0.873","2.1938E-10","1.067","5.8901E-11","0.371","0.0037868","YLR377C","false","YLR377C"
"350","MAC1","0.022","0.6115","-0.032","0.59236","0.066","0.54119","YMR021C","false","YMR021C"
"351","FRE1","0.518","4.6835E-9","-0.279","0.0018109","0.282","0.039051","YLR214W","false","YLR214W"
"353","MSN5","0.028","0.8595","0.189","0.071598","0.272","0.2334","YDR335W","false","YDR335W"
"354","HMO1","-0.314","5.1646E-8","-0.083","0.10372","-0.356","3.4721E-8","YDR174W","false","YDR174W"
"356","TPO1","-0.189","1.7163E-4","-0.101","0.27319","-0.24","0.0047822","YLL028W","false","YLL028W"
"357","CUP2","-0.073","0.33486","0.243","0.0012181","0.147","0.032147","YGL166W","false","YGL166W"
"360","RPP1A","-0.429","1.705E-5","-0.094","0.048133","-0.278","5.9631E-6","YDL081C","false","YDL081C"
"361","RPP0","-0.259","4.9964E-6","-0.148","0.0063648","-0.361","2.0593E-7","YLR340W","false","YLR340W"
"363","MUD2","0.002","0.96433","-0.294","2.8457E-4","0.608","3.4465E-4","YKL074C","false","YKL074C"
"365","TEM1","-0.218","0.37089","-0.069","0.45319","-0.0","0.999999","YML064C","false","YML064C"
"367","YCK1","0.082","0.037285","-0.049","0.23999","0.119","0.037227","YHR135C","false","YHR135C"
"368","YNL116W","0.165","2.6759E-4","0.027","0.63152","0.358","2.7658E-4","YNL116W","false","YNL116W"
"370","YNL047C","0.14","0.0026155","-0.078","0.19124","0.029","0.7773","YNL047C","false","YNL047C"
"372","YCK2","-0.013","0.76333","-0.066","0.21924","-0.438","2.3558E-7","YNL154C","false","YNL154C"
"373","YKL204W","0.253","6.4944E-6","-0.002","0.9794","0.16","0.091109","YKL204W","false","YKL204W"
"375",,,,,,,,"?","false","?"
"377","TOR1","-0.028","0.47775","0.326","2.5298E-5","0.111","0.1951","YJR066W","false","YJR066W"
"379","RPP2B","-0.218","1.427E-5","-0.058","0.18479","-0.314","1.4245E-7","YDR382W","false","YDR382W"
"380","RPP1B","-0.3","1.0483E-5","-0.123","0.01128","-0.24","2.1405E-5","YDL130W","false","YDL130W"
"382","ACT1","-0.16","3.2175E-4","0.192","1.31E-4","-0.527","6.0582E-12","YFL039C","false","YFL039C"
"384","GLK1","-0.146","0.0093643","0.542","1.0508E-6","-0.221","2.0566E-4","YCL040W","false","YCL040W"
"386","OYE2","-0.565","2.6358E-8","0.078","0.098356","-0.671","3.6995E-11","YHR179W","false","YHR179W"
"388","GCR1","-0.373","2.4947E-7","-0.207","0.046834","-0.53","5.2661E-6","YPL075W","false","YPL075W"
"392","GCR2","0.121","0.005054","-0.162","0.0077746","0.433","5.6535E-5","YNL199C","false","YNL199C"
"396","TAH18","0.113","0.12893","-0.191","0.54556","0.289","0.063048","YPR048W","false","YPR048W"
"399","SFH1","0.252","2.6832E-5","-0.352","5.2576E-4","0.427","0.0047054","YLR321C","false","YLR321C"
"401","HSP26","-1.232","1.3135E-6","0.895","2.3868E-5","-0.447","3.3493E-11","YBR072W","false","YBR072W"
"402","HSF1","0.104","0.034847","-0.084","0.42981","0.543","6.2254E-4","YGL073W","false","YGL073W"
"405","AST1","-0.272","1.9402E-6","-0.487","7.0045E-6","-0.026","0.87354","YBL069W","false","YBL069W"
"407","SRP1","0.082","0.045195","0.014","0.79134","-0.573","1.4096E-8","YNL189W","false","YNL189W"
"408","PHO13","-0.223","2.9509E-4","-0.311","5.3874E-5","-0.258","8.095E-4","YDL236W","false","YDL236W"
"410","CAR1","0.186","7.2553E-4","-0.26","1.8582E-4","0.957","5.2368E-11","YPL111W","false","YPL111W"
"413","FCY1","-0.07","0.066907","-0.145","0.006637","-0.071","0.26496","YPR062W","false","YPR062W"
"415","BUD6","0.071","0.18355","-0.201","0.0039398","0.21","0.072655","YLR319C","false","YLR319C"
"417","YNL311C","-0.055","0.3444","-0.388","0.0089606","-0.169","0.12031","YNL311C","false","YNL311C"
"418","MET14","-0.152","0.0020562","-0.474","2.7503E-6","0.683","2.7054E-7","YKL001C","false","YKL001C"
"421","CMK2","-0.365","6.846E-7","-0.108","0.024371","-0.138","0.027128","YOL016C","false","YOL016C"
"422","CMD1","-0.089","0.024989","0.074","0.13694","-0.163","0.0092082","YBR109C","false","YBR109C"
"424","SNX4","0.195","1.3457E-4","-0.051","0.36812","0.376","9.7735E-4","YJL036W","false","YJL036W"
"425","YDL113C","0.189","9.9404E-5","0.011","0.8523","0.304","0.0063436","YDL113C","false","YDL113C"
"427","YEL041W","0.211","4.7824E-4","0.393","3.204E-7","-0.265","0.035715","YEL041W","false","YEL041W"
"428","YHR115C","0.056","0.143","0.044","0.33678","0.138","0.079261","YHR115C","false","YHR115C"
"430","SKO1","0.095","0.024036","0.1","0.079913","-0.18","0.015501","YNL167C","false","YNL167C"
"432","YDL063C","0.093","0.055312","-0.755","0.0023991","0.971","0.0013668","YDL063C","false","YDL063C"
"433","RPL5","-0.228","1.0523E-5","-0.149","0.0049489","-0.246","1.4759E-4","YPL131W","false","YPL131W"
"435","YGL161C","-0.07","0.053915","0.172","8.9167E-4","-0.164","0.0065587","YGL161C","false","YGL161C"
"436","YDR100W","-0.007","0.86711","0.275","1.3164E-5","-0.415","5.7948E-10","YDR100W","false","YDR100W"
"438","SSO2","-0.822","2.1741E-11","0.256","0.0021146","-0.825","1.0306E-16","YMR183C","false","YMR183C"
"439","SEC9","0.236","2.9579E-5","-0.185","0.017416","0.302","4.4067E-4","YGR009C","false","YGR009C"
"441","YMR291W","-0.363","7.9783E-8","0.256","0.012617","-0.397","5.3037E-9","YMR291W","false","YMR291W"
"443","UFD1","0.017","0.696","-0.155","0.028001","0.364","0.0043651","YGR048W","false","YGR048W"
"444","YPL222W","0.344","6.9654E-7","0.284","1.3673E-4","0.514","4.6216E-5","YPL222W","false","YPL222W"
"446","CLN3","-0.027","0.66515","-0.206","0.0017369","0.303","0.0010074","YAL040C","false","YAL040C"
"448","PHO4","0.121","0.099513","-0.336","6.9671E-4","0.348","0.020802","YFR034C","false","YFR034C"
"450","RSC8","0.297","1.5078E-6","-0.226","0.013849","0.35","0.0035541","YFR037C","false","YFR037C"
"451","SNF2","-0.119","0.0030289","-0.101","0.029664","-0.577","3.6284E-13","YOR290C","false","YOR290C"
"453","GLC7","0.051","0.20733","-0.085","0.063996","-0.051","0.36616","YER133W","false","YER133W"
"455","GAC1","-0.137","0.0010176","0.462","1.5883E-6","-0.187","0.0036854","YOR178C","false","YOR178C"
"457","YOR315W","0.066","0.13594","-0.462","4.7159E-6","-0.063","0.50938","YOR315W","false","YOR315W"
"459","GLC8","0.214","0.0015202","0.021","0.64469","0.349","6.5604E-6","YMR311C","false","YMR311C"
"461","REG2","0.432","6.914E-8","0.679","2.9767E-8","0.122","0.28411","YBR050C","false","YBR050C"
"465","SUC2","-0.318","4.1442E-7","0.688","1.7862E-9","-1.131","1.7403E-20","YIL162W","false","YIL162W"
